track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,0.741,0.697,116.109,-7.028,0.774,0.0277,2.28e-05,0.133,0.0664
2TDDvKi8n44EaLVJXd2GkP,Break It Down Again,0.678,0.744,108.989,-7.001,0.484,0.0245,0.432,0.119,0.0124
2xGKkcdKQUyqKKfOhd58gP,Stay,0.581,0.525,119.09,-11.357,0.652,0.029,2.97e-05,0.131,0.314
7lo43I6slQYrmMZQYb99PC,A Visita,0.74,0.581,103.429,-6.466,0.969,0.0362,0.0689,0.199,0.659
6IBYNkdYt6UePLysFn6xu9,O Que É O Que É?,0.672,0.694,111.829,-8.867,0.939,0.0409,0.0,0.247,0.105
5ed6a8Fanf7jNghrZboXlU,Loving Every Minute,0.557,0.528,97.108,-9.63,0.72,0.0318,0.000191,0.097,0.303
2zhHYs0W7I891mfT4KGJ4d,Nosso Pequeno Castelo,0.773,0.638,108.962,-11.711,0.697,0.133,3.33e-05,0.107,0.582
0OrE0VWVZuhOPHSjO7WhKD,Voce Abusou,0.435,0.209,144.867,-15.551,0.522,0.0393,0.0,0.0751,0.695
6fR4It0y0RdwwjBRVIr405,I Follow Rivers,0.596,0.529,110.032,-8.194,0.696,0.0681,0.0,0.0171,0.0447
2kMvM1l45ZjpOv73qPefxA,Relicário,0.46,0.515,83.809,-9.473,0.395,0.0276,0.0,0.209,0.444
7wHiBFYJHp2MHjwyYV7xCZ,Meu Lugar,0.323,0.655,164.77,-7.412,0.657,0.0375,0.0,0.767,0.676
34eHLnDCoIh9g0co9zro3F,Tocando em Frente,0.49,0.282,88.039,-12.015,0.389,0.048,0.0,0.58,0.868
4dIWbsYRqqTcLKf4bVU4kk,Como Nossos Pais,0.51,0.401,143.942,-11.296,0.574,0.102,0.0,0.288,0.418
7DoBn08dqKS9MmtZiZChVD,Garota Nacional,0.86,0.768,130.108,-5.087,0.81,0.0341,0.000112,0.113,0.00396
6avkLAdK3IbkR1c7l6APmJ,Big Time Sensuality,0.728,0.717,118.589,-12.949,0.566,0.101,0.0172,0.167,7.34e-05
1U5zdT78JN2K5PPJEgyoLG,Meu Erro,0.792,0.506,104.397,-13.576,0.906,0.0326,0.00541,0.212,0.155
0JmNkza8Oax92TF7lJV8GZ,Cara valente,0.738,0.56,157.946,-9.963,0.645,0.0482,0.0045,0.126,0.608
51sjYvAPyoR7CQB1NQUgXJ,Sing,0.332,0.9,163.534,-5.023,0.243,0.0514,1.26e-05,0.058,0.000286
1N10tJPyQ70QcMLxhobSbJ,O Mar Serenou,0.706,0.52,85.568,-10.748,0.94,0.147,0.0,0.127,0.194
3RnA0bz5qbwtjSnAP0EcvS,What a Wonderful World,0.305,0.282,79.756,-10.255,0.262,0.0295,1.76e-06,0.108,0.791
6OguEkETIgjJs48LKaOjdZ,She,0.39,0.287,65.179,-12.881,0.302,0.0302,2.87e-06,0.13,0.447
0UvCh63URrLFcPkKt99hHd,Don't Look Back in Anger - Remastered,0.327,0.938,162.937,-3.237,0.326,0.0645,3.79e-06,0.148,0.0708
0cLH7BXqfm0RqnjueCPLfW,Evidence,0.686,0.779,97.948,-7.386,0.627,0.0306,0.00759,0.0725,0.0259
4zzvMG8KrsykYtvFEJ99Cl,Easy,0.506,0.554,124.724,-6.743,0.375,0.0339,0.000355,0.112,0.339
3mr584ZFSkZrWja9kJAzlb,Skyfall,0.346,0.552,75.881,-6.864,0.0789,0.0282,0.0,0.114,0.417
6Z1zJjEXLrszqTPol6bfFV,Live And Let Die - Remastered 1993,0.412,0.393,154.241,-13.316,0.183,0.0489,0.000969,0.136,0.0742
589AelScFm0FYQ4VG1biJi,"The James Bond Theme (From ""Dr. No"")",0.437,0.567,130.147,-12.797,0.326,0.0386,0.846,0.175,0.366
5UnqU47OSB8LBahj0jtjrR,Another Way to Die,0.541,0.772,71.201,-3.874,0.43,0.136,8.48e-05,0.0796,0.0382
4NvgRMckw4uzjNn2t7taPe,Die Another Day,0.788,0.777,123.994,-6.213,0.427,0.0844,0.00194,0.11,0.0681
4MR9iW77LJoPPDjwAYbIZZ,"You Know My Name - From ""Casino Royale"" Soundtrack",0.368,0.864,137.526,-3.335,0.374,0.0393,0.0,0.234,0.0197
0F3GMvgFyxWCOm1nxlkQSW,Perfect,0.639,0.897,114.297,-7.012,0.701,0.0444,0.815,0.475,0.0096
2iUrcZcAuVIahQD0dg9HLe,Autumn Leaves,0.496,0.634,93.357,-10.328,0.606,0.0364,0.402,0.0746,0.779
7KkzVlps826NezcpXPvEuV,Johnny B. Goode,0.502,0.931,166.407,-4.686,0.903,0.174,3.92e-06,0.281,0.697
5uCdgBAqYPWQ2HGpJVGAeD,Get Up I Feel Like Being A Sex Machine - Pt. 1 / Single Version,0.802,0.661,107.774,-7.569,0.799,0.171,2.31e-05,0.173,0.157
4z5vQIvJg32wmmIGFsmKMx,Minha Tribo Sou Eu,0.654,0.885,138.987,-8.812,0.684,0.0565,0.108,0.259,0.181
4rq3CoA3hrw3LjgtItwSu5,Aquarela,0.561,0.269,75.117,-12.045,0.646,0.0531,3.85e-05,0.101,0.93
38BhHsOGE3ly3q3IiRCh66,Pipes Of Peace - Remastered 2015,0.369,0.413,94.287,-14.386,0.406,0.0339,0.0,0.116,0.167
6nbyjI9tJUITph7LN7uZPj,O Trem das 7 (Ao Vivo),0.396,0.476,122.02,-9.345,0.394,0.0315,0.0,0.741,0.752
1Ow7BwZB6NKfxham67mLH7,Acontecimentos,0.634,0.495,137.879,-8.703,0.454,0.0321,0.000409,0.0454,0.169
5aGhtbviqUqjtno5vcUmCN,Colo de Menina,0.654,0.464,145.371,-8.369,0.72,0.031,0.0,0.11,0.305
6OSUZBGoQJOhbSrmvLrNa8,Space Cowboy,0.635,0.538,110.805,-15.429,0.795,0.0681,0.524,0.121,0.168
77QC2Lgrj6PG7H4HI6yNzS,Meu Guarda-Chuva,0.787,0.612,154.033,-10.419,0.892,0.047,0.322,0.0927,0.455
